City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tubarjal,30.4999,38.216,25.93,37,35,1.53,SA,1731251026
1,edinburgh of the seven seas,-37.0676,-12.3116,15.81,87,100,10.68,SH,1731251027
2,viedma,-40.8135,-62.9967,17.01,28,100,2.54,AR,1731250977
3,stanley,54.868,-1.6985,11.82,92,75,3.09,GB,1731251029
4,ribeira grande,38.5167,-28.7,20.22,94,75,7.2,PT,1731251030
5,waitangi,-43.9535,-176.5597,11.57,94,63,1.79,NZ,1731251031
6,albardon,-31.4372,-68.5256,26.88,43,22,8.92,AR,1731250862
7,prince rupert,54.3161,-130.3201,9.83,54,100,15.43,CA,1731250862
8,st. john's,47.5649,-52.7093,2.76,75,100,14.92,CA,1731251034
9,port-aux-francais,-49.35,70.2167,4.52,77,38,8.28,TF,1731251035
10,uturoa,-16.7333,-151.4333,26.99,81,54,7.12,PF,1731251036
11,willemstad,12.1084,-68.9335,30.44,75,20,3.6,CW,1731250881
12,albany,42.6001,-73.9662,6.03,59,86,0.89,US,1731250927
13,bredasdorp,-34.5322,20.0403,17.75,62,100,4.95,ZA,1731251039
14,talnakh,69.4865,88.3972,-23.7,93,32,1.68,RU,1731250854
15,petropavlovsk-kamchatsky,53.0452,158.6483,-5.67,68,0,4.0,RU,1731251043
16,glendive,47.1053,-104.7125,0.79,86,0,2.57,US,1731251044
17,fort wellington,6.4,-57.6,31.19,61,53,4.45,GY,1731251045
18,broken hill,-31.95,141.4333,22.83,35,100,3.34,AU,1731251046
19,hadibu,12.65,54.0333,26.46,78,27,4.25,YE,1731251047
20,lovisa,60.4566,26.2251,2.94,85,36,1.15,FI,1731251048
21,springs,-26.25,28.4,19.26,94,100,3.11,ZA,1731251049
22,fort bragg,35.139,-79.006,14.39,75,20,2.06,US,1731251051
23,luganville,-15.5333,167.1667,24.64,82,60,3.28,VU,1731251052
24,grove city,39.8815,-83.093,12.64,97,100,5.14,US,1731251053
25,carnarvon,-24.8667,113.6333,20.52,73,22,12.4,AU,1731251054
26,puerto baquerizo moreno,-0.9,-89.6,23.55,88,20,4.63,EC,1731251055
27,adamstown,-25.066,-130.1015,21.96,92,100,6.18,PN,1731251056
